Date,Weight (kg)
2022-10-13,2.4
2022-11-11,2.5
2022-11-28,2.7
2022-12-07,2.8
2022-12-15,2.9
2022-12-25,3.1
2023-01-02,3.2
2023-01-09,3.4
2023-01-16,3.5
2023-01-24,3.5
2023-01-30,3.6
2023-02-07,3.7
2023-02-13,3.8
2023-02-21,3.9
2023-02-28,3.9
2023-03-06,3.8
2023-03-14,3.9
2023-03-21,4.0
2023-03-28,4.1
2023-04-11,4.2
2023-04-26,4.3
2023-05-09,4.4
2023-05-31,4.4
2023-06-19,4.4
2023-07-08,4.5
2023-09-02,4.4
2023-11-14,4.2
2023-11-26,4.3
2023-12-25,4.2
2024-01-19,4.1
2024-03-11,4.1
2024-03-23,4.3
2024-07-02,4.2
2024-07-19,4.2
2024-09-05,4.1
2024-09-18,4.2
2025-01-13,4.3
2025-01-29,4.4
2025-06-19,4.2
2025-09-18,4.1
2025-12-03,4.3
2026-02-11,4.3
2026-03-24,4.3
